"PSPath","PSDrive","PSProvider","PSIsContainer","Name","Key","Value"
"Microsoft.PowerShell.Core\Environment::ALLUSERSPROFILE","Env","Microsoft.PowerShell.Core\Environment","False","ALLUSERSPROFILE","ALLUSERSPROFILE","C:\ProgramData"
"Microsoft.PowerShell.Core\Environment::APPDATA","Env","Microsoft.PowerShell.Core\Environment","False","APPDATA","APPDATA","C:\Users\User\AppData\Roaming"
"Microsoft.PowerShell.Core\Environment::CommonProgramFiles","Env","Microsoft.PowerShell.Core\Environment","False","CommonProgramFiles","CommonProgramFiles","C:\Program Files\Common Files"
"Microsoft.PowerShell.Core\Environment::CommonProgramFiles(x86)","Env","Microsoft.PowerShell.Core\Environment","False","CommonProgramFiles(x86)","CommonProgramFiles(x86)","C:\Program Files (x86)\Common Files"
"Microsoft.PowerShell.Core\Environment::CommonProgramW6432","Env","Microsoft.PowerShell.Core\Environment","False","CommonProgramW6432","CommonProgramW6432","C:\Program Files\Common Files"
"Microsoft.PowerShell.Core\Environment::COMPUTERNAME","Env","Microsoft.PowerShell.Core\Environment","False","COMPUTERNAME","COMPUTERNAME","DESKTOP-RVD6TK8"
"Microsoft.PowerShell.Core\Environment::ComSpec","Env","Microsoft.PowerShell.Core\Environment","False","ComSpec","ComSpec","C:\Windows\system32\cmd.exe"
"Microsoft.PowerShell.Core\Environment::DriverData","Env","Microsoft.PowerShell.Core\Environment","False","DriverData","DriverData","C:\Windows\System32\Drivers\DriverData"
"Microsoft.PowerShell.Core\Environment::FPS_BROWSER_APP_PROFILE_STRING","Env","Microsoft.PowerShell.Core\Environment","False","FPS_BROWSER_APP_PROFILE_STRING","FPS_BROWSER_APP_PROFILE_STRING","Internet Explorer"
"Microsoft.PowerShell.Core\Environment::FPS_BROWSER_USER_PROFILE_STRING","Env","Microsoft.PowerShell.Core\Environment","False","FPS_BROWSER_USER_PROFILE_STRING","FPS_BROWSER_USER_PROFILE_STRING","Default"
"Microsoft.PowerShell.Core\Environment::HOMEDRIVE","Env","Microsoft.PowerShell.Core\Environment","False","HOMEDRIVE","HOMEDRIVE","C:"
"Microsoft.PowerShell.Core\Environment::HOMEPATH","Env","Microsoft.PowerShell.Core\Environment","False","HOMEPATH","HOMEPATH","\Users\User"
"Microsoft.PowerShell.Core\Environment::LOCALAPPDATA","Env","Microsoft.PowerShell.Core\Environment","False","LOCALAPPDATA","LOCALAPPDATA","C:\Users\User\AppData\Local"
"Microsoft.PowerShell.Core\Environment::LOGONSERVER","Env","Microsoft.PowerShell.Core\Environment","False","LOGONSERVER","LOGONSERVER","\\DESKTOP-RVD6TK8"
"Microsoft.PowerShell.Core\Environment::NUMBER_OF_PROCESSORS","Env","Microsoft.PowerShell.Core\Environment","False","NUMBER_OF_PROCESSORS","NUMBER_OF_PROCESSORS","4"
"Microsoft.PowerShell.Core\Environment::OneDrive","Env","Microsoft.PowerShell.Core\Environment","False","OneDrive","OneDrive","C:\Users\User\OneDrive"
"Microsoft.PowerShell.Core\Environment::OS","Env","Microsoft.PowerShell.Core\Environment","False","OS","OS","Windows_NT"
"Microsoft.PowerShell.Core\Environment::Path","Env","Microsoft.PowerShell.Core\Environment","False","Path","Path","C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files\Git\cmd;C:\Program Files\dotnet\;C:\Users\User\AppData\Local\Programs\Python\Python312\Scripts\;C:\Users\User\AppData\Local\Programs\Python\Python312\;C:\Users\User\AppData\Local\Programs\Python\Launcher\;C:\Users\User\AppData\Local\Microsoft\WindowsApps;C:\Users\User\.dotnet\tools;C:\Users\User\AppData\Local\Programs\Ollama"
"Microsoft.PowerShell.Core\Environment::PATHEXT","Env","Microsoft.PowerShell.Core\Environment","False","PATHEXT","PATHEXT",".COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;.CPL"
"Microsoft.PowerShell.Core\Environment::PROCESSOR_ARCHITECTURE","Env","Microsoft.PowerShell.Core\Environment","False","PROCESSOR_ARCHITECTURE","PROCESSOR_ARCHITECTURE","AMD64"
"Microsoft.PowerShell.Core\Environment::PROCESSOR_IDENTIFIER","Env","Microsoft.PowerShell.Core\Environment","False","PROCESSOR_IDENTIFIER","PROCESSOR_IDENTIFIER","Intel64 Family 6 Model 69 Stepping 1, GenuineIntel"
"Microsoft.PowerShell.Core\Environment::PROCESSOR_LEVEL","Env","Microsoft.PowerShell.Core\Environment","False","PROCESSOR_LEVEL","PROCESSOR_LEVEL","6"
"Microsoft.PowerShell.Core\Environment::PROCESSOR_REVISION","Env","Microsoft.PowerShell.Core\Environment","False","PROCESSOR_REVISION","PROCESSOR_REVISION","4501"
"Microsoft.PowerShell.Core\Environment::ProgramData","Env","Microsoft.PowerShell.Core\Environment","False","ProgramData","ProgramData","C:\ProgramData"
"Microsoft.PowerShell.Core\Environment::ProgramFiles","Env","Microsoft.PowerShell.Core\Environment","False","ProgramFiles","ProgramFiles","C:\Program Files"
"Microsoft.PowerShell.Core\Environment::ProgramFiles(x86)","Env","Microsoft.PowerShell.Core\Environment","False","ProgramFiles(x86)","ProgramFiles(x86)","C:\Program Files (x86)"
"Microsoft.PowerShell.Core\Environment::ProgramW6432","Env","Microsoft.PowerShell.Core\Environment","False","ProgramW6432","ProgramW6432","C:\Program Files"
"Microsoft.PowerShell.Core\Environment::PSModulePath","Env","Microsoft.PowerShell.Core\Environment","False","PSModulePath","PSModulePath","C:\Users\User\Documents\WindowsPowerShell\Modules;C:\Program Files\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules"
"Microsoft.PowerShell.Core\Environment::PUBLIC","Env","Microsoft.PowerShell.Core\Environment","False","PUBLIC","PUBLIC","C:\Users\Public"
"Microsoft.PowerShell.Core\Environment::SESSIONNAME","Env","Microsoft.PowerShell.Core\Environment","False","SESSIONNAME","SESSIONNAME","Console"
"Microsoft.PowerShell.Core\Environment::SystemDrive","Env","Microsoft.PowerShell.Core\Environment","False","SystemDrive","SystemDrive","C:"
"Microsoft.PowerShell.Core\Environment::SystemRoot","Env","Microsoft.PowerShell.Core\Environment","False","SystemRoot","SystemRoot","C:\Windows"
"Microsoft.PowerShell.Core\Environment::TEMP","Env","Microsoft.PowerShell.Core\Environment","False","TEMP","TEMP","C:\Users\User\AppData\Local\Temp"
"Microsoft.PowerShell.Core\Environment::TMP","Env","Microsoft.PowerShell.Core\Environment","False","TMP","TMP","C:\Users\User\AppData\Local\Temp"
"Microsoft.PowerShell.Core\Environment::USERDOMAIN","Env","Microsoft.PowerShell.Core\Environment","False","USERDOMAIN","USERDOMAIN","DESKTOP-RVD6TK8"
"Microsoft.PowerShell.Core\Environment::USERDOMAIN_ROAMINGPROFILE","Env","Microsoft.PowerShell.Core\Environment","False","USERDOMAIN_ROAMINGPROFILE","USERDOMAIN_ROAMINGPROFILE","DESKTOP-RVD6TK8"
"Microsoft.PowerShell.Core\Environment::USERNAME","Env","Microsoft.PowerShell.Core\Environment","False","USERNAME","USERNAME","User"
"Microsoft.PowerShell.Core\Environment::USERPROFILE","Env","Microsoft.PowerShell.Core\Environment","False","USERPROFILE","USERPROFILE","C:\Users\User"
"Microsoft.PowerShell.Core\Environment::windir","Env","Microsoft.PowerShell.Core\Environment","False","windir","windir","C:\Windows"
