"TaskName","TaskPath","State"
"OneDrive Reporting Task-S-1-5-21-2059432068-349761349-3478041169-1001","\","Ready"
"OneDrive Standalone Update Task-S-1-5-21-2059432068-349761349-3478041169-1001","\","Ready"
"OneDrive Startup Task-S-1-5-21-2059432068-349761349-3478041169-1001","\","Ready"
".NET Framework NGEN v4.0.30319","\Microsoft\Windows\.NET Framework\","Ready"
".NET Framework NGEN v4.0.30319 64","\Microsoft\Windows\.NET Framework\","Ready"
"AD RMS Rights Policy Template Management (Manual)","\Microsoft\Windows\Active Directory Rights Management Services Client\","Ready"
"MareBackup","\Microsoft\Windows\Application Experience\","Ready"
"Microsoft Compatibility Appraiser","\Microsoft\Windows\Application Experience\","Ready"
"PcaPatchDbTask","\Microsoft\Windows\Application Experience\","Ready"
"PcaWallpaperAppDetect","\Microsoft\Windows\Application Experience\","Ready"
"ProgramDataUpdater","\Microsoft\Windows\Application Experience\","Ready"
"StartupAppTask","\Microsoft\Windows\Application Experience\","Ready"
"appuriverifierdaily","\Microsoft\Windows\ApplicationData\","Ready"
"appuriverifierinstall","\Microsoft\Windows\ApplicationData\","Ready"
"CleanupTemporaryState","\Microsoft\Windows\ApplicationData\","Ready"
"DsSvcCleanup","\Microsoft\Windows\ApplicationData\","Ready"
"Backup","\Microsoft\Windows\AppListBackup\","Ready"
"BackupNonMaintenance","\Microsoft\Windows\AppListBackup\","Ready"
"Proxy","\Microsoft\Windows\Autochk\","Ready"
"BitLocker Encrypt All Drives","\Microsoft\Windows\BitLocker\","Ready"
"BitLocker MDM policy Refresh","\Microsoft\Windows\BitLocker\","Ready"
"UninstallDeviceTask","\Microsoft\Windows\Bluetooth\","Ready"
"BgTaskRegistrationMaintenanceTask","\Microsoft\Windows\BrokerInfrastructure\","Ready"
"UserTask","\Microsoft\Windows\CertificateServicesClient\","Ready"
"UserTask-Roam","\Microsoft\Windows\CertificateServicesClient\","Ready"
"ProactiveScan","\Microsoft\Windows\Chkdsk\","Ready"
"SyspartRepair","\Microsoft\Windows\Chkdsk\","Ready"
"ClipESUConsumer","\Microsoft\Windows\Clip\","Ready"
"CreateObjectTask","\Microsoft\Windows\CloudExperienceHost\","Ready"
"Backup","\Microsoft\Windows\CloudRestore\","Ready"
"UnifiedConsentSyncTask","\Microsoft\Windows\ConsentUX\UnifiedConsent\","Ready"
"Consolidator","\Microsoft\Windows\Customer Experience Improvement Program\","Ready"
"UsbCeip","\Microsoft\Windows\Customer Experience Improvement Program\","Ready"
"Data Integrity Check And Scan","\Microsoft\Windows\Data Integrity Scan\","Ready"
"Data Integrity Scan","\Microsoft\Windows\Data Integrity Scan\","Ready"
"Data Integrity Scan for Crash Recovery","\Microsoft\Windows\Data Integrity Scan\","Ready"
"ScheduledDefrag","\Microsoft\Windows\Defrag\","Ready"
"Device","\Microsoft\Windows\Device Information\","Ready"
"Device User","\Microsoft\Windows\Device Information\","Ready"
"RecommendedTroubleshootingScanner","\Microsoft\Windows\Diagnosis\","Ready"
"Scheduled","\Microsoft\Windows\Diagnosis\","Ready"
"DirectXDatabaseUpdater","\Microsoft\Windows\DirectX\","Ready"
"DXGIAdapterCache","\Microsoft\Windows\DirectX\","Ready"
"SilentCleanup","\Microsoft\Windows\DiskCleanup\","Ready"
"Microsoft-Windows-DiskDiagnosticDataCollector","\Microsoft\Windows\DiskDiagnostic\","Ready"
"Diagnostics","\Microsoft\Windows\DiskFootprint\","Ready"
"StorageSense","\Microsoft\Windows\DiskFootprint\","Ready"
"dusmtask","\Microsoft\Windows\DUSM\","Ready"
"EDP App Launch Task","\Microsoft\Windows\EDP\","Ready"
"EDP Auth Task","\Microsoft\Windows\EDP\","Ready"
"EDP Inaccessible Credentials Task","\Microsoft\Windows\EDP\","Ready"
"StorageCardEncryption Task","\Microsoft\Windows\EDP\","Ready"
"ExploitGuard MDM policy Refresh","\Microsoft\Windows\ExploitGuard\","Ready"
"DmClient","\Microsoft\Windows\Feedback\Siuf\","Ready"
"DmClientOnScenarioDownload","\Microsoft\Windows\Feedback\Siuf\","Ready"
"File History (maintenance mode)","\Microsoft\Windows\FileHistory\","Ready"
"ReconcileFeatures","\Microsoft\Windows\Flighting\FeatureConfig\","Ready"
"UsageDataFlushing","\Microsoft\Windows\Flighting\FeatureConfig\","Ready"
"UsageDataReporting","\Microsoft\Windows\Flighting\FeatureConfig\","Ready"
"RefreshCache","\Microsoft\Windows\Flighting\OneSettings\","Ready"
"LocalUserSyncDataAvailable","\Microsoft\Windows\Input\","Ready"
"MouseSyncDataAvailable","\Microsoft\Windows\Input\","Ready"
"PenSyncDataAvailable","\Microsoft\Windows\Input\","Ready"
"TouchpadSyncDataAvailable","\Microsoft\Windows\Input\","Ready"
"ScanForUpdates","\Microsoft\Windows\InstallService\","Ready"
"ScanForUpdatesAsUser","\Microsoft\Windows\InstallService\","Ready"
"Synchronize Language Settings","\Microsoft\Windows\International\","Ready"
"Installation","\Microsoft\Windows\LanguageComponentsInstaller\","Ready"
"ReconcileLanguageResources","\Microsoft\Windows\LanguageComponentsInstaller\","Ready"
"Notifications","\Microsoft\Windows\Location\","Ready"
"WindowsActionDialog","\Microsoft\Windows\Location\","Ready"
"WinSAT","\Microsoft\Windows\Maintenance\","Ready"
"Cellular","\Microsoft\Windows\Management\Provisioning\","Ready"
"Logon","\Microsoft\Windows\Management\Provisioning\","Ready"
"MapsToastTask","\Microsoft\Windows\Maps\","Ready"
"MapsUpdateTask","\Microsoft\Windows\Maps\","Ready"
"ProcessMemoryDiagnosticEvents","\Microsoft\Windows\MemoryDiagnostic\","Ready"
"MNO Metadata Parser","\Microsoft\Windows\Mobile Broadband Accounts\","Ready"
"LPRemove","\Microsoft\Windows\MUI\","Ready"
"GatherNetworkInfo","\Microsoft\Windows\NetTrace\","Ready"
"WiFiTask","\Microsoft\Windows\NlaSvc\","Ready"
"Device Install Group Policy","\Microsoft\Windows\Plug and Play\","Ready"
"Device Install Reboot Required","\Microsoft\Windows\Plug and Play\","Ready"
"Sysprep Generalize Drivers","\Microsoft\Windows\Plug and Play\","Ready"
"AnalyzeSystem","\Microsoft\Windows\Power Efficiency Diagnostics\","Ready"
"EduPrintProv","\Microsoft\Windows\Printing\","Ready"
"PrinterCleanupTask","\Microsoft\Windows\Printing\","Ready"
"RegIdleBackup","\Microsoft\Windows\Registry\","Ready"
"StartComponentCleanup","\Microsoft\Windows\Servicing\","Ready"
"BackgroundUploadTask","\Microsoft\Windows\SettingSync\","Ready"
"CreateObjectTask","\Microsoft\Windows\Shell\","Ready"
"FamilySafetyMonitor","\Microsoft\Windows\Shell\","Ready"
"FamilySafetyRefreshTask","\Microsoft\Windows\Shell\","Ready"
"IndexerAutomaticMaintenance","\Microsoft\Windows\Shell\","Ready"
"ThemesSyncedImageDownload","\Microsoft\Windows\Shell\","Ready"
"SpaceAgentTask","\Microsoft\Windows\SpacePort\","Ready"
"SpaceManagerTask","\Microsoft\Windows\SpacePort\","Ready"
"MaintenanceTasks","\Microsoft\Windows\StateRepository\","Ready"
"Storage Tiers Management Initialization","\Microsoft\Windows\Storage Tiers Management\","Ready"
"EnableLicenseAcquisition","\Microsoft\Windows\Subscription\","Ready"
"ResPriStaticDbSync","\Microsoft\Windows\Sysmain\","Ready"
"WsSwapAssessmentTask","\Microsoft\Windows\Sysmain\","Ready"
"SR","\Microsoft\Windows\SystemRestore\","Ready"
"Interactive","\Microsoft\Windows\Task Manager\","Ready"
"MsCtfMonitor","\Microsoft\Windows\TextServicesFramework\","Ready"
"ForceSynchronizeTime","\Microsoft\Windows\Time Synchronization\","Ready"
"SynchronizeTime","\Microsoft\Windows\Time Synchronization\","Ready"
"SynchronizeTimeZone","\Microsoft\Windows\Time Zone\","Ready"
"UPnPHostConfig","\Microsoft\Windows\UPnP\","Ready"
"Usb-Notifications","\Microsoft\Windows\USB\","Ready"
"WiFiTask","\Microsoft\Windows\WCM\","Ready"
"Windows Defender Cache Maintenance","\Microsoft\Windows\Windows Defender\","Ready"
"Windows Defender Cleanup","\Microsoft\Windows\Windows Defender\","Ready"
"Windows Defender Scheduled Scan","\Microsoft\Windows\Windows Defender\","Ready"
"Windows Defender Verification","\Microsoft\Windows\Windows Defender\","Ready"
"QueueReporting","\Microsoft\Windows\Windows Error Reporting\","Ready"
"BfeOnServiceStartTypeChange","\Microsoft\Windows\Windows Filtering Platform\","Ready"
"UpdateLibrary","\Microsoft\Windows\Windows Media Sharing\","Ready"
"Calibration Loader","\Microsoft\Windows\WindowsColorSystem\","Ready"
"Scheduled Start","\Microsoft\Windows\WindowsUpdate\","Ready"
"CDSSync","\Microsoft\Windows\WlanSvc\","Ready"
"Work Folders Logon Synchronization","\Microsoft\Windows\Work Folders\","Ready"
"Work Folders Maintenance Work","\Microsoft\Windows\Work Folders\","Ready"
"NotificationTask","\Microsoft\Windows\WwanSvc\","Ready"
"OobeDiscovery","\Microsoft\Windows\WwanSvc\","Ready"
"XblGameSaveTask","\Microsoft\XblGameSave\","Ready"
